Column,Timestamp,Question 1: In which institution are you based?,Question 2: Which of the following roles apply to you? 1,Question 2: Which of the following roles apply to you? 2,Question 2: Which of the following roles apply to you? 3,Question 2: Which of the following roles apply to you? 4,Question 2: Which of the following roles apply to you? 5,Question 3: Which of the following disciplines best applies to your work?,Question 4: Which funder currently provides the majority of your funding?,Question 5: How many years have you worked in research?,Question 6: Do you use research software?,Question 7: What would happen if you could no longer use research software?,Question 8: Do you develop your own research software?,Question 9: Have you received any training in software development?,Question 10: Have you ever included costs for software development in a funding proposal?,Question 11: Please provide the name(s) of the main research software you use.,Extra question 1: What is your job title?,Extra question 2: What is your gender?,Extra question 3: Are you employed on a permanent or fixed-term contract,Extra question 4: What is your preferred Operating System?,Q11_valid_data
186,10/20/2014 13:04:21,university of sheffield,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",mrc - medical research council,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,No,Datadesk,professor,Male,Permanent,Mac OS X,True
187,10/20/2014 13:06:59,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,"R, SPSS, Excel, MATLAB, ArcMap, MestreNova",phd student,Male,Fixed term,Microsoft Windows,True
188,10/20/2014 13:11:45,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"ROOT , pyroot, mathematica, own software in C++ , python",phd student,Male,Fixed term,Linux,True
189,10/20/2014 13:19:29,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",mrc - medical research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"Volocity, Image J, Licor software",postdoctoral researcher,Female,Fixed term,Mac OS X,True
190,10/20/2014 13:20:35,university of glasgow,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health","other foundation, society or charity",6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"Microsoft Office Excel ,Matlab,SPSS,",other,Female,Fixed term,Microsoft Windows,True
191,10/20/2014 13:26:30,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",european union,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"Microsoft Access, Microsoft Excel, SPSS, OriginLab",postdoctoral researcher,Female,Fixed term,Don't have a preference,True
192,10/20/2014 13:28:11,university of birmingham,I conduct research,,,,,Education,"other foundation, society or charity",11-15 years,Yes,It would not be practical to conduct my work without software,No,No,No,"excel, SPSS, MLwIN, Nvivo",lecturer,Male,Permanent,Don't have a preference,True
193,10/20/2014 13:31:49,queen mary university of london,I conduct research, I manage researchers or research projects,,,,Humanities & language based studies & archaeology,esrc - economic and social research council,1-5 years,No,It would make no significant difference to my work,No,No,No,,research fellow,Male,Fixed term,Microsoft Windows,False
194,10/20/2014 13:36:02,queen's university belfast,I conduct research,,,,,Social studies,university central funds,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - self taught using online resources or books,No,,,Male,Permanent,Mac OS X,False
195,10/20/2014 13:36:02,imperial college london,I conduct research,,,,,Engineering & technology,"other foundation, society or charity",1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Matlab,Excel,Vensim,Python,Origin,",phd student,Male,Fixed term,Microsoft Windows,True
196,10/20/2014 13:37:18,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"Matlab,Microsoft Office,",phd student,Male,Fixed term,Microsoft Windows,True
197,10/20/2014 13:39:33,imperial college london,I conduct research, I support researchers,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,,phd student,Male,Fixed term,Mac OS X,False
198,10/20/2014 13:40:17,university of leeds,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"Matlab, Maple, Python, TAO, PETSCI, MPI, C, Fortran",professor,Male,Permanent,Linux,True
199,10/20/2014 13:44:12,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,"ImageJ, InSite",phd student,Female,Fixed term,Microsoft Windows,True
200,10/20/2014 13:45:58,queen's university belfast,I conduct research,,,,,Social studies,uk government,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"NVivo, SPSS",research fellow,Female,Fixed term,Microsoft Windows,True
201,10/20/2014 13:55:08,university of liverpool,I conduct research,,,,,"Medicine, dentistry & health",wellcome trust,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"R, STATA",phd student,Female,Fixed term,Mac OS X,True
202,10/20/2014 13:57:31,university of liverpool,I conduct research,,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",11-15 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS,Sigmaplot,Primer 6+ ,R,Excel,",research fellow,Female,Fixed term,Mac OS X,True
204,10/20/2014 14:10:36,university of birmingham,I conduct research, I manage researchers or research projects,,,,Social studies,uk government,11-15 years,No,It would make no significant difference to my work,No,Yes - self taught using online resources or books,No,,manager,Male,Permanent,Don't have a preference,False
205,10/20/2014 14:13:18,queen mary university of london,I manage researchers or research projects,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"Sequenceserver, blast, bwa, R,",lecturer,Prefer not to say,Permanent,Mac OS X,True
206,10/20/2014 14:15:47,queen's university belfast,I conduct research,,,,,Administrative & business studies,not known,6-10 years,Yes,"My work would require more effort, but it would still be possible",Yes,No,No,NVIVO,researcher,Male,Prefer not to say,Microsoft Windows,True
207,10/20/2014 14:18:40,university of liverpool,I conduct research, I manage researchers or research projects,,,,Architecture & planning,"other foundation, society or charity",1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"Rhinoceros 5,Grasshopper,DIVA,Adobe suite",lecturer,Male,Permanent,Microsoft Windows,True
208,10/20/2014 14:18:40,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,No,"Mathworks, Maplesoft",postdoctoral researcher,Male,Fixed term,Linux,True
209,10/20/2014 14:19:10,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,More than 20 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - a taught course,No,"R for statistical analysis, varbrule , javascript / Ruby scripts for experiments.",professor,Male,Permanent,Mac OS X,True
210,10/20/2014 14:21:00,queen mary university of london,I conduct research,,,,,"Biological, mathematical & physical sciences",european union,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"python, perl, R, Trinity, samtools, gatK, SOAPdenovo, Newbler, Velvet/Oases, STRUCTURE ",phd student,Female,Fixed term,Mac OS X,True
211,10/20/2014 14:21:48,queen's university belfast,I conduct research, I manage researchers or research projects,,,,Humanities & language based studies & archaeology,"other foundation, society or charity",More than 20 years,No,It would make no significant difference to my work,No,Yes - a taught course,Yes,,lecturer,Male,Permanent,Microsoft Windows,False
212,10/20/2014 14:21:50,university of liverpool,I conduct research, I support researchers,,,,"Medicine, dentistry & health",nihr,15-20 years,Yes,It would not be practical to conduct my work without software,No,No,Yes,"SAS,R,Stata,",lecturer,Male,Permanent,Microsoft Windows,True
213,10/20/2014 14:30:34,university of glasgow,I conduct research,,,,,Social studies,ahrc - arts and humanities research council,11-15 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,SSPS,professor,Male,Permanent,Microsoft Windows,True
214,10/20/2014 14:37:29,university of leeds,I conduct research, I support researchers, I develop software for researchers,,,"Biological, mathematical & physical sciences",not prepared to answer,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,"Propietary software at Leeds: MG, CUBEMPI, spectral MHD codes.",postdoctoral researcher,Male,Fixed term,Don't have a preference,True
215,10/20/2014 14:43:21,university of leeds,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",university central funds,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,R,professor,Male,Permanent,Linux,True
216,10/20/2014 14:45:53,imperial college london,I conduct research, I support researchers, I manage researchers or research projects,,,Engineering & technology,epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,"Matlab, Auto, Fortran",professor,Male,Permanent,Microsoft Windows,True
217,10/20/2014 14:49:57,university of bristol,I conduct research,,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,11-15 years,No,It would make no significant difference to my work,No,No,"No, but we expected to develop software as part of the project",,professor,Male,Permanent,Microsoft Windows,False
218,10/20/2014 15:02:53,university of bristol,I conduct research,,,,,Engineering & technology,industry,Less than a year,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,MATLAB,phd student,Male,Fixed term,Microsoft Windows,True
219,10/20/2014 15:11:25,university of birmingham,I manage researchers or research projects,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,"No, but we expected to develop software as part of the project","QuantumEspresso, VASP, NWChem, GPAW, Amber, GMIN .",professor,Male,Permanent,Linux,True
220,10/20/2014 15:17:21,university of leeds,I conduct research,,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,Less than a year,Yes,"My work would require more effort, but it would still be possible",No,No,No,"Mendeley, EndNote, Sente, Microsoft Word, Excel, Powerpoint, Latex, ",phd student,Male,Fixed term,Mac OS X,True
221,10/20/2014 15:23:01,queen mary university of london,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",industry,11-15 years,Yes,It would not be practical to conduct my work without software,No,No,No,"Mestranova,Excel",lecturer,Female,Permanent,Microsoft Windows,True
222,10/20/2014 15:29:28,queen mary university of london,Other,,,,,"Biological, mathematical & physical sciences",self funded,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"R, Geany, C, C++, LibreOffice Calc",professor,Prefer not to say,,Linux,True
223,10/20/2014 15:30:16,university of sheffield,I conduct research,,,,,"Biological, mathematical & physical sciences",european union,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,"MatLab, OpenSim",postdoctoral researcher,Male,Fixed term,Linux,True
224,10/20/2014 15:30:31,imperial college london,I conduct research, I support researchers,,,,Engineering & technology,don't know,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"Origin,Matlab,Python",phd student,Male,Permanent,Microsoft Windows,True
225,10/20/2014 15:35:30,university of bristol,I conduct research, I develop software for researchers,,,,Social studies,mrc - medical research council,1-5 years,No,It would make no significant difference to my work,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,,postdoctoral researcher,Male,Fixed term,Linux,False
226,10/20/2014 15:38:23,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,ROOT,postdoctoral researcher,Male,Prefer not to say,Linux,True
227,10/20/2014 15:40:25,university of liverpool,I conduct research, I manage researchers or research projects, I develop software for researchers,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","PRISM, NuSMV",lecturer,Male,Permanent,Don't have a preference,True
228,10/20/2014 15:40:29,university of nottingham,I support researchers,,,,,"Biological, mathematical & physical sciences",don't know,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,,technician,Male,Permanent,Microsoft Windows,False
229,10/20/2014 15:40:59,university of nottingham,I conduct research, I support researchers,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,"PAST hammer, ArcGIS",research fellow,Female,Fixed term,Microsoft Windows,True
230,10/20/2014 15:48:42,university of nottingham,I conduct research, I manage researchers or research projects,,,,Engineering & technology,european union,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - self taught using online resources or books,No,SPSS,research fellow,Female,Fixed term,Microsoft Windows,True
231,10/20/2014 15:51:33,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,"Syngene Genetools, Ascent for Multiskan Ascent, Software to run a nanodrop, ImageJ, Microsoft Excel, ",,Male,Fixed term,Microsoft Windows,True
232,10/20/2014 15:53:56,university of glasgow,I conduct research,,,,,Engineering & technology,industry,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"Origin, L-Edit, LayoutBeamer, Penelope",postdoctoral researcher,Female,Fixed term,Mac OS X,True
233,10/20/2014 15:55:07,queen's university belfast,I conduct research,,,,,Engineering & technology,esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS, AMOS, Vensim, Banxia, nVivo",lecturer,Male,Permanent,Microsoft Windows,True
234,10/20/2014 15:55:35,university of leeds,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",european union,1-5 years,Yes,It would not be practical to conduct my work without software,No,Yes - a taught course,No,"Ccp4, ccpn",postdoctoral researcher,Female,Fixed term,Mac OS X,True
235,10/20/2014 15:56:57,university of liverpool,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","R,gcc",reader,Male,Permanent,Mac OS X,True
236,10/20/2014 15:58:57,imperial college london,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",european research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"Magma, Go, Sage, Mathematica",reader,Male,Permanent,Mac OS X,True
237,10/20/2014 16:06:41,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,Latex,postdoctoral researcher,Female,Fixed term,Mac OS X,True
238,10/20/2014 16:08:36,university of sheffield,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",university central funds,15-20 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,No,"LaTeX, R, Python/SAGE, PARI",reader,Male,Permanent,Microsoft Windows,True
239,10/20/2014 16:18:01,university of sheffield,I conduct research,,,,,"Medicine, dentistry & health",no funding,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS, excel",lecturer,Female,Permanent,Microsoft Windows,True
240,10/20/2014 16:19:35,university of nottingham,I conduct research, I support researchers, I develop software for researchers,,,Engineering & technology,epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project",,postdoctoral researcher,Male,Fixed term,Linux,False
241,10/20/2014 16:22:51,imperial college london,I conduct research, I support researchers,,,,"Biological, mathematical & physical sciences",european union,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS, Statgraphs, Origin, Excel, Geochem",other,Female,Fixed term,Microsoft Windows,True
242,10/20/2014 16:28:42,university of bristol,I conduct research,Other,,,,Social studies,university central funds,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"Stata, Oxmetrics",reader,Male,Permanent,Don't have a preference,True
243,10/20/2014 16:30:26,university of liverpool,I conduct research, I support researchers,,,,"Medicine, dentistry & health",nihr,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,"No, but we expected to develop software as part of the project","Excel, Access, Graphpad, SPSS, Plink, Whatever my statistician tells me!!",lecturer,Male,Permanent,Microsoft Windows,True
245,10/20/2014 16:46:47,imperial college london,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,15-20 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,No,"magma, sage",professor,Male,Permanent,Linux,True
246,10/20/2014 16:57:38,imperial college london,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"ROOT, self-written code in C++, self-written code in Python, self-written code in CUDA, self-written code in bash, NEUT, GENIE, GEANT4, MySQL, MINUIT, STAN",postdoctoral researcher,Other,Fixed term,Linux,True
247,10/20/2014 16:59:23,queen's university belfast,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,european union,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,"ABAQUS,Intel FORTRAN,MATLAB",professor,Male,Permanent,Microsoft Windows,True
248,10/20/2014 17:01:10,queen mary university of london,I conduct research,,,,,Humanities & language based studies & archaeology,"other foundation, society or charity",1-5 years,No,It would make no significant difference to my work,No,No,No,n/a,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
249,10/20/2014 17:03:53,imperial college london,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"text processing software, visualization software, I write my own codes to run simulations , some are freely available on the web. ",research fellow,Male,Fixed term,Linux,True
250,10/20/2014 17:16:31,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,No,It would make no significant difference to my work,No,No,I'm not involved in bid writing,,phd student,Male,Prefer not to say,Linux,False
251,10/20/2014 17:25:07,queen mary university of london,I conduct research, I manage researchers or research projects, I develop software for researchers,,,Engineering & technology,european union,15-20 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","Spss, matlab ",professor,Male,Permanent,Microsoft Windows,True
252,10/20/2014 17:37:07,university of bristol,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",nihr,11-15 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,NVivo,research fellow,Female,Permanent,Microsoft Windows,True
253,10/20/2014 17:42:31,university of bristol,I conduct research,,,,,Social studies,esrc - economic and social research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"SPSS,GeoSegregationAnalyser,ArcInfo,Equipop",professor,Male,,Microsoft Windows,True
254,10/20/2014 17:50:41,imperial college london,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","self-written software coded in C , R,PGPLOT graphics library,Gnu scientific library,Python, shell , Perl scripts",lecturer,Male,Permanent,Mac OS X,True
255,10/20/2014 18:15:12,university of sheffield,I conduct research, I develop software for researchers,,,,Engineering & technology,university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,"Lucence, Weka, rdf3x, MTurk, StanfordNLP",lecturer,Male,Permanent,Mac OS X,True
256,10/20/2014 18:17:39,university of liverpool,I conduct research, I manage researchers or research projects, I develop software for researchers,Other,,"Biological, mathematical & physical sciences",nerc - natural environment research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,,postdoctoral researcher,Male,Permanent,Mac OS X,False
257,10/20/2014 18:22:05,queen mary university of london,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","Computayional chemistry software: DL_POLY, CP2K, Gaussian, NWChem,Programming languages: Fortran, Perl, bash scripting",lecturer,Male,Permanent,Linux,True
258,10/20/2014 19:08:21,university of leeds,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"python, numpy, matplotlib, scipy, scikit-learn, p,as, ipython, p,oc",phd student,Male,Fixed term,Linux,True
259,10/20/2014 19:29:05,imperial college london,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",industry,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"Enthought Canopy ,XCode",postdoctoral researcher,Male,Fixed term,Linux,True
260,10/20/2014 19:41:17,university of sheffield,I conduct research, I support researchers,,,,Social studies,university central funds,More than 20 years,No,It would make no significant difference to my work,No,"Yes - a taught course, Yes - self taught using online resources or books",No,,lecturer,Male,Permanent,Mac OS X,False
261,10/20/2014 19:53:21,university of bristol,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Biological, mathematical & physical sciences",european union,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,"Earth system model I mostly wrote. Other global environmental models . Myriad scripts , box models.",professor,Male,Permanent,Linux,True
262,10/20/2014 20:03:05,queen mary university of london,I conduct research,,,,,Humanities & language based studies & archaeology,esrc - economic and social research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - a taught course,No,"R, Python, LaTeX",phd student,Prefer not to say,Fixed term,Mac OS X,True
263,10/20/2014 20:05:14,queen's university belfast,I conduct research, I manage researchers or research projects,,,,Architecture & planning,industry,15-20 years,No,It would make no significant difference to my work,No,No,No,,professor,Female,Permanent,Mac OS X,False
264,10/20/2014 20:14:57,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects,Other,,"Biological, mathematical & physical sciences",nerc - natural environment research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,R,reader,Male,Permanent,Mac OS X,True
265,10/20/2014 20:17:51,university of bristol,I conduct research, I support researchers, I manage researchers or research projects,,,Social studies,"other foundation, society or charity",11-15 years,Yes,It would not be practical to conduct my work without software,No,No,No,"Egret, MLWin, SPSS",research fellow,Female,Permanent,Microsoft Windows,True
266,10/20/2014 20:29:35,university of nottingham,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"VectorNTI, CLC Genomics Workbench, GenePattern, BioEdit, HTSeq, Intrgrated Genomics Viewer , MEGA phylogenetics software.,",postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
267,10/20/2014 20:41:35,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,Less than a year,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,No,"Labview, SPSS, Matlab",phd student,Male,Fixed term,Linux,True
268,10/20/2014 20:53:48,queen mary university of london,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","CBMC, various shell/Perl scripts, Jenkins",lecturer,Male,Permanent,Mac OS X,True
269,10/20/2014 21:25:04,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"Igor Pro, Matlab, python, C++",researcher,Male,Permanent,Microsoft Windows,True
270,10/20/2014 21:29:49,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"Nu Plasma MC-ICP-MS propriety software, Python scripts written by myself including matplotlip/numpy/scipy, occasional Octave, occasional QuantumGIS",phd student,Other,Fixed term,Linux,True
271,10/20/2014 21:41:54,university of leeds,I conduct research,,,,,"Medicine, dentistry & health","other foundation, society or charity",1-5 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - a taught course,I'm not involved in bid writing,"Nvivo, ",phd student,Female,Permanent,Microsoft Windows,True
273,10/20/2014 22:14:10,university of bristol,I conduct research,,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,More than 20 years,Yes,It would make no significant difference to my work,No,No,"No, but we expected to develop software as part of the project",,lecturer,Female,Permanent,Microsoft Windows,False
274,10/20/2014 22:15:05,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"Mathematica, Matlab",postdoctoral researcher,Female,Fixed term,Linux,True
275,10/20/2014 22:23:18,university of bristol,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","Matlab, Abaqus, Python",phd student,Male,Fixed term,Don't have a preference,True
276,10/20/2014 22:37:13,queen mary university of london,I conduct research, I manage researchers or research projects,,,,Social studies,esrc - economic and social research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"Stata, R, Emacs, Sed, Awk, Mathematica",lecturer,Male,Permanent,Mac OS X,True
277,10/21/2014 0:08:58,queen's university belfast,I conduct research, I manage researchers or research projects,,,,Engineering & technology,european union,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","MathCad, CST Microwave Studio, Agilen ADS, MultiSim ",reader,Male,Permanent,Microsoft Windows,True
278,10/21/2014 6:08:26,university of newcastle,Other,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","Labview, Origin, Kaleida Graph, Igor",lecturer,Female,Fixed term,Mac OS X,True
279,10/21/2014 8:22:50,queen mary university of london,I conduct research,,,,,Humanities & language based studies & archaeology,university central funds,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"I used Bento from Filemaker , I'm now flailing around looking for an alternative since it was withdrawn. ",lecturer,Female,Permanent,Mac OS X,True
280,10/21/2014 9:01:38,university of nottingham,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"MestReNova, R, Prism, many proprietary softwares for individual analytical instruments",research fellow,Male,Fixed term,Linux,True
